time,average_burnup,average_centerline_fuel_temperature,average_fission_rate,average_interior_clad_temperature,clad_inner_vol,disp_y_3023,fission_gas_generated,fission_gas_released,fission_gas_released_percentage,flux_from_clad,flux_from_fuel,initial_moles,maximum_clad_elongation,maximum_fuel_elongation,pellet_volume,plenum_pressure,plenum_temperature,plenum_volume,rod_ave_lin_pow
110598378,0.059538639374268,1151.2680962705,8.9030544282232e+18,607.37363409483,0.00021966535596533,0.040730325267313,0.13092027577916,0.0031670742207068,2.4190861208152,-54069.297599366,53995.945863194,0.02702175888503,0.040730325267313,0.058827748075094,-0.00020479996857294,10545607.988364,624.56240307754,1.4865387392393e-05,55066.525923322
110599818,0.059539206009723,1151.2744905418,8.9031255150511e+18,607.37401876065,0.00021966542467415,0.040730859814665,0.13092151724989,0.0031670851349702,2.4190715181868,-54069.712601678,53996.366883526,0.02702175888503,0.040730859814665,0.058828282620872,-0.0002048000607658,10545635.955932,624.56284697963,1.4865363908355e-05,55066.96560441
110602698,0.059540339293983,1151.2872821984,8.9032676887813e+18,607.37478826645,0.00021966556208029,0.040731928576391,0.13092400022109,0.0031671073118621,2.4190425792932,-54070.542744925,53997.210006627,0.02702175888503,0.040731928576391,0.058829351302013,-0.00020480024507916,10545691.826434,624.56372628894,1.4865317001132e-05,55067.844967045
110608458,0.059542605915901,1151.3127975599,8.9035520365392e+18,607.37632685841,0.00021966583661849,0.040734063917525,0.13092896628244,0.0031671520232342,2.4189849757173,-54072.202366466,53998.896291969,0.02702175888503,0.040734063917525,0.05883148649654,-0.00020480061331149,10545803.079376,624.56545359265,1.4865223306994e-05,55069.603694154
110619978,0.059547139373336,1151.3639062987,8.9041207332453e+18,607.3794027959,0.00021966638619237,0.040738337924633,0.13093889888094,0.0031672422478877,2.4188703853143,-54075.519419595,54002.268779114,0.02702175888503,0.040738337924633,0.058835760207552,-0.00020480135034319,10546026.508654,624.56894311009,1.4865035849187e-05,55073.121155735
110643018,0.059556207142597,1151.4661829881,8.9052581314224e+18,607.38557517779,0.00021966748613612,0.040746890744818,0.13095876598116,0.0031674248138924,2.4186428378137,-54082.188233666,54009.013644084,0.02702175888503,0.040746890744818,0.058844312454854,-0.00020480282515978,10546474.711705,624.57595870887,1.4864660976335e-05,55080.15610837
110689098,0.059574346098686,1151.6708060994,8.9075329468699e+18,607.39791531469,0.00021966968858631,0.040764008991735,0.13099850779452,0.0031677963965792,2.4181927335754,-54095.517749785,54022.503025619,0.02702175888503,0.040764008991735,0.058861429631645,-0.00020480577662924,10547373.394837,624.59001754375,1.4863911957076e-05,55094.226131734
110781258,0.059610637681128,1152.0803698049,8.9120826544022e+18,607.42257271491,0.00021967410371412,0.040798293419183,0.1310780218734,0.00316856100286,2.4173091396819,-54122.134379767,54049.480541627,0.02702175888503,0.040798293419183,0.058895712137944,-0.00020481168645853,10549178.35884,624.61826459431,1.4862417255591e-05,55122.366652472
110965578,0.059683275527072,1152.9006934907,8.9211823781328e+18,607.47175405992,0.00021968300638845,0.040867037326215,0.13123717184321,0.0031701672069063,2.4156015878593,-54175.125636832,54103.431332467,0.02702175888503,0.040867037326215,0.05896445178629,-0.00020482352995756,10552789.694687,624.67522246668,1.4859476430895e-05,55178.649603087
111326530,0.059825732674518,1154.5108987339,8.9390035113695e+18,607.56697515694,0.00021970054335684,0.041002304171303,0.13154930410698,0.0031735412436804,2.4124348397158,-54277.010228962,54209.06762556,0.02702175888503,0.041002304171303,0.059099694815574,-0.0002048468107579,10559953.58546,624.7878410426,1.4853732598947e-05,55288.875582639
