0.145,0.1225,0.1290,0.1761,0.2078,0.3322,0.3715,0.3961,0.4118,0.4157,0.4027,0.4327,0.4501,0.4657,0.4840,0.5054,0.5252,0.5183,0.5687,0.6086,0.6469,0.6889,0.7347,0.7761,0.7733,0.8543,0.9183,0.9711,0.9933,1.0636,1.1324,1.1843,1.1710,1.2879,1.3719,1.4350,1.4534,1.5418,1.6187,1.6673,1.6257,1.7678,1.8499,1.8959,1.8841,1.9593,1.9872,1.9499,1.7978,1.8472,1.7389,1.1310,0.9746,0.7825
0.150,0.1225,0.1290,0.1760,0.2077,0.3320,0.3713,0.3959,0.4117,0.4156,0.4025,0.4326,0.4500,0.4656,0.4839,0.5054,0.5251,0.5183,0.5687,0.6086,0.6469,0.6890,0.7348,0.7762,0.7734,0.8544,0.9184,0.9712,0.9934,1.0637,1.1325,1.1844,1.1711,1.2880,1.3719,1.4351,1.4535,1.5418,1.6187,1.6673,1.6257,1.7678,1.8499,1.8959,1.8841,1.9592,1.9872,1.9499,1.7978,1.8472,1.7390,1.1310,0.9747,0.7826
0.155,0.1226,0.1291,0.1761,0.2078,0.3323,0.3716,0.3962,0.4119,0.4159,0.4028,0.4329,0.4503,0.4659,0.4842,0.5057,0.5254,0.5186,0.5690,0.6089,0.6472,0.6892,0.7351,0.7764,0.7736,0.8547,0.9186,0.9714,0.9935,1.0639,1.1326,1.1845,1.1711,1.2880,1.3719,1.4350,1.4533,1.5416,1.6184,1.6670,1.6253,1.7674,1.8494,1.8954,1.8836,1.9587,1.9866,1.9494,1.7973,1.8467,1.7385,1.1308,0.9745,0.7825
0.160,0.1228,0.1293,0.1765,0.2082,0.3329,0.3723,0.3969,0.4127,0.4166,0.4035,0.4336,0.4510,0.4666,0.4849,0.5064,0.5261,0.5192,0.5696,0.6095,0.6478,0.6898,0.7356,0.7769,0.7740,0.8551,0.9190,0.9717,0.9938,1.0640,1.1327,1.1845,1.1711,1.2878,1.3716,1.4346,1.4529,1.5411,1.6178,1.6662,1.6246,1.7665,1.8485,1.8943,1.8825,1.9575,1.9855,1.9482,1.7963,1.8457,1.7376,1.1302,0.9741,0.7822
0.165,0.1232,0.1298,0.1771,0.2089,0.3340,0.3735,0.3982,0.4140,0.4179,0.4047,0.4348,0.4523,0.4678,0.4860,0.5075,0.5272,0.5202,0.5706,0.6105,0.6487,0.6907,0.7364,0.7776,0.7747,0.8557,0.9195,0.9721,0.9941,1.0643,1.1328,1.1844,1.1709,1.2875,1.3712,1.4340,1.4522,1.5402,1.6168,1.6650,1.6233,1.7651,1.8469,1.8926,1.8807,1.9557,1.9836,1.9463,1.7946,1.8439,1.7360,1.1293,0.9733,0.7817
0.170,0.1239,0.1304,0.1780,0.2100,0.3357,0.3753,0.4001,0.4159,0.4197,0.4065,0.4367,0.4541,0.4696,0.4878,0.5092,0.5288,0.5217,0.5722,0.6120,0.6501,0.6920,0.7376,0.7787,0.7756,0.8565,0.9202,0.9727,0.9945,1.0646,1.1329,1.1843,1.1707,1.2871,1.3705,1.4331,1.4511,1.5390,1.6152,1.6633,1.6215,1.7630,1.8446,1.8901,1.8782,1.9530,1.9808,1.9436,1.7921,1.8414,1.7337,1.1279,0.9722,0.7808
0.175,0.1248,0.1314,0.1792,0.2115,0.3380,0.3779,0.4027,0.4186,0.4224,0.4090,0.4393,0.4567,0.4721,0.4903,0.5116,0.5311,0.5238,0.5743,0.6140,0.6520,0.6938,0.7393,0.7801,0.7768,0.8577,0.9212,0.9734,0.9951,1.0649,1.1330,1.1842,1.1703,1.2865,1.3696,1.4318,1.4496,1.5372,1.6131,1.6609,1.6190,1.7601,1.8413,1.8867,1.8747,1.9492,1.9769,1.9398,1.7886,1.8378,1.7305,1.1259,0.9706,0.7797
0.180,0.1260,0.1327,0.1810,0.2135,0.3413,0.3815,0.4064,0.4223,0.4260,0.4124,0.4429,0.4603,0.4756,0.4936,0.5148,0.5342,0.5267,0.5772,0.6168,0.6547,0.6962,0.7415,0.7821,0.7785,0.8593,0.9225,0.9745,0.9958,1.0654,1.1332,1.1839,1.1698,1.2856,1.3682,1.4301,1.4476,1.5347,1.6102,1.6576,1.6156,1.7561,1.8369,1.8820,1.8699,1.9441,1.9717,1.9346,1.7839,1.8330,1.7261,1.1232,0.9683,0.7781
0.185,0.1277,0.1344,0.1833,0.2163,0.3456,0.3862,0.4113,0.4272,0.4309,0.4170,0.4476,0.4650,0.4802,0.4981,0.5192,0.5383,0.5304,0.5810,0.6205,0.6581,0.6994,0.7444,0.7847,0.7807,0.8613,0.9242,0.9758,0.9968,1.0661,1.1333,1.1836,1.1691,1.2844,1.3665,1.4278,1.4449,1.5315,1.6064,1.6532,1.6110,1.7509,1.8311,1.8757,1.8635,1.9374,1.9647,1.9278,1.7776,1.8267,1.7203,1.1196,0.9654,0.7759
0.190,0.1298,0.1367,0.1864,0.2198,0.3512,0.3923,0.4177,0.4336,0.4372,0.4230,0.4538,0.4711,0.4861,0.5039,0.5247,0.5436,0.5353,0.5860,0.6252,0.6625,0.7035,0.7481,0.7880,0.7835,0.8639,0.9264,0.9774,0.9980,1.0668,1.1335,1.1831,1.1682,1.2829,1.3642,1.4247,1.4414,1.5273,1.6014,1.6475,1.6052,1.7441,1.8237,1.8677,1.8554,1.9287,1.9558,1.9190,1.7696,1.8184,1.7128,1.1150,0.9616,0.7732
0.195,0.1326,0.1395,0.1903,0.2244,0.3583,0.4001,0.4258,0.4418,0.4451,0.4305,0.4616,0.4788,0.4936,0.5111,0.5318,0.5503,0.5414,0.5922,0.6311,0.6681,0.7087,0.7528,0.7921,0.7870,0.8672,0.9291,0.9794,0.9994,1.0678,1.1337,1.1825,1.1669,1.2809,1.3613,1.4209,1.4369,1.5220,1.5951,1.6405,1.5978,1.7357,1.8143,1.8577,1.8451,1.9178,1.9446,1.9079,1.7595,1.8081,1.7033,1.1092,0.9568,0.7697
0.200,0.1360,0.1431,0.1951,0.2300,0.3672,0.4098,0.4359,0.4520,0.4551,0.4399,0.4714,0.4885,0.5031,0.5203,0.5406,0.5586,0.5491,0.6000,0.6386,0.6751,0.7151,0.7586,0.7972,0.7914,0.8713,0.9325,0.9820,1.0014,1.0690,1.1340,1.1818,1.1655,1.2785,1.3578,1.4162,1.4314,1.5155,1.5873,1.6316,1.5886,1.7250,1.8024,1.8450,1.8321,1.9041,1.9304,1.8939,1.7466,1.7950,1.6914,1.1018,0.9508,0.7653
0.205,0.1402,0.1475,0.2011,0.2370,0.3781,0.4217,0.4483,0.4644,0.4673,0.4514,0.4834,0.5003,0.5145,0.5314,0.5513,0.5688,0.5584,0.6094,0.6476,0.6835,0.7229,0.7657,0.8035,0.7967,0.8762,0.9366,0.9851,1.0036,1.0705,1.1342,1.1808,1.1637,1.2755,1.3533,1.4104,1.4247,1.5074,1.5778,1.6207,1.5773,1.7121,1.7882,1.8297,1.8165,1.8875,1.9133,1.8770,1.7312,1.7792,1.6769,1.0928,0.9434,0.7599
0.210,0.1451,0.1526,0.2080,0.2450,0.3908,0.4356,0.4626,0.4788,0.4814,0.4648,0.4972,0.5139,0.5278,0.5442,0.5636,0.5805,0.5691,0.6202,0.6579,0.6931,0.7317,0.7737,0.8104,0.8026,0.8817,0.9411,0.9884,1.0059,1.0718,1.1342,1.1794,1.1613,1.2718,1.3480,1.4035,1.4167,1.4980,1.5668,1.6083,1.5645,1.6974,1.7719,1.8123,1.7989,1.8688,1.8940,1.8580,1.7137,1.7613,1.6604,1.0826,0.9349,0.7536
0.215,0.1504,0.1582,0.2155,0.2539,0.4046,0.4507,0.4783,0.4946,0.4967,0.4793,0.5123,0.5287,0.5422,0.5581,0.5769,0.5931,0.5806,0.6318,0.6689,0.7033,0.7411,0.7821,0.8177,0.8087,0.8873,0.9455,0.9916,1.0080,1.0730,1.1339,1.1776,1.1584,1.2675,1.3420,1.3959,1.4081,1.4879,1.5549,1.5949,1.5508,1.6817,1.7547,1.7939,1.7801,1.8489,1.8735,1.8377,1.6951,1.7423,1.6429,1.0716,0.9257,0.7468
0.220,0.1559,0.1639,0.2233,0.2629,0.4188,0.4662,0.4943,0.5107,0.5125,0.4942,0.5277,0.5439,0.5568,0.5722,0.5904,0.6058,0.5922,0.6435,0.6800,0.7135,0.7503,0.7903,0.8248,0.8146,0.8926,0.9497,0.9945,1.0099,1.0738,1.1333,1.1755,1.1553,1.2630,1.3359,1.3881,1.3993,1.4776,1.5429,1.5815,1.5370,1.6660,1.7374,1.7755,1.7614,1.8290,1.8530,1.8175,1.6764,1.7232,1.6252,1.0605,0.9165,0.7398
0.225,0.1613,0.1695,0.2308,0.2718,0.4327,0.4813,0.5100,0.5263,0.5277,0.5086,0.5426,0.5585,0.5709,0.5857,0.6034,0.6179,0.6033,0.6546,0.6904,0.7231,0.7590,0.7980,0.8314,0.8201,0.8975,0.9535,0.9971,1.0115,1.0744,1.1325,1.1733,1.1522,1.2586,1.3299,1.3806,1.3908,1.4677,1.5314,1.5687,1.5239,1.6510,1.7209,1.7579,1.7436,1.8101,1.8335,1.7982,1.6587,1.7050,1.6083,1.0498,0.9075,0.7332
0.230,0.1662,0.1747,0.2378,0.2799,0.4455,0.4952,0.5244,0.5408,0.5418,0.5218,0.5563,0.5719,0.5839,0.5982,0.6152,0.6290,0.6133,0.6647,0.6999,0.7318,0.7669,0.8050,0.8372,0.8249,0.9018,0.9569,0.9993,1.0128,1.0748,1.1317,1.1712,1.1493,1.2545,1.3243,1.3737,1.3830,1.4586,1.5210,1.5570,1.5119,1.6374,1.7060,1.7420,1.7274,1.7929,1.8158,1.7806,1.6424,1.6883,1.5928,1.0400,0.8993,0.7269
